AIRPORT,Year_Ended_December,Dom_Pax_Total,Int_Pax_Total,Pax_Total
SYDNEY,2019,27538404,16890441,44428845
MELBOURNE,2019,25815647,11318644,37134291
BRISBANE,2019,17580142,6425564,24005706
PERTH,2019,8150336,4363180,12513516
ADELAIDE,2019,7387579,1128592,8516171
GOLD COAST,2019,5543608,940995,6484603
CAIRNS,2019,4126357,651824,4778181
CANBERRA,2019,3153043,85069,3238112
HOBART,2019,2781739,0,2781739
DARWIN,2019,1727460,256030,1983490
TOWNSVILLE,2019,1610740,0,1610740
LAUNCESTON,2019,1395304,0,1395304
SUNSHINE COAST,2019,1269952,13084,1283036
NEWCASTLE,2019,1270934,7124,1278058
MACKAY,2019,840650,0,840650
ROCKHAMPTON,2019,571543,0,571543
ALICE SPRINGS,2019,554544,0,554544
BALLINA,2019,533279,0,533279
AYERS ROCK,2019,489588,0,489588
KARRATHA,2019,467898,0,467898
HAMILTON ISLAND,2019,452546,0,452546
PROSERPINE,2019,433414,0,433414
BROOME,2019,403800,0,403800
PORT HEDLAND,2019,387173,8891,396064
COFFS HARBOUR,2019,395471,0,395471
NEWMAN,2019,348641,0,348641
KALGOORLIE,2019,289736,0,289736
ALBURY,2019,252501,0,252501
GLADSTONE,2019,247835,0,247835
MILDURA,2019,241056,0,241056
MOUNT ISA,2019,220345,0,220345
PORT MACQUARIE,2019,218504,0,218504
WAGGA WAGGA,2019,207417,0,207417
EMERALD,2019,201523,0,201523
DUBBO,2019,198461,0,198461
PARABURDOO,2019,190856,0,190856
TAMWORTH,2019,188914,0,188914
PORT LINCOLN,2019,172234,0,172234
HERVEY BAY,2019,166839,0,166839
BUNDABERG,2019,153671,0,153671
DEVONPORT,2019,148332,0,148332
ARMIDALE,2019,132521,0,132521
TOOWOOMBA WELLCAMP,2019,110357,0,110357
MORANBAH,2019,109824,0,109824
GERALDTON,2019,106693,0,106693
THURSDAY ISLAND,2019,96996,0,96996
ROMA,2019,86207,0,86207
MOUNT GAMBIER,2019,85330,0,85330
LEARMONTH,2019,84685,0,84685
ORANGE,2019,82372,0,82372
KUNUNURRA,2019,79930,0,79930
WHYALLA,2019,78787,0,78787
GRIFFITH,2019,76715,0,76715
OLYMPIC DAM,2019,75852,0,75852
BURNIE,2019,72472,0,72472
WEIPA,2019,72181,0,72181
ALBANY,2019,62241,0,62241
NORFOLK ISLAND,2019,60449,1055,61504
BROKEN HILL,2019,60962,0,60962
MERIMBULA,2019,60276,0,60276
GOVE,2019,58098,0,58098
ESPERANCE,2019,51336,0,51336
KING ISLAND,2019,45936,0,45936
ESSENDON FIELDS,2019,43424,0,43424
KINGSCOTE,2019,43043,0,43043
PARKES,2019,35952,0,35952
LONGREACH,2019,33968,0,33968
LORD HOWE ISLAND,2019,33480,0,33480
MCARTHUR RIVER,2019,32807,0,32807
MOREE,2019,31522,0,31522
PALM ISLAND,2019,28818,0,28818
CLONCURRY,2019,27283,0,27283
CEDUNA,2019,27044,0,27044
GROOTE EYLANDT,2019,26460,0,26460
WOLLONGONG,2019,22348,0,22348
CARNARVON,2019,22299,0,22299
FLINDERS ISLAND,2019,22068,0,22068
BAMAGA,2019,20831,0,20831
CHRISTMAS ISLAND,2019,18469,0,18469
CHARLEVILLE,2019,16527,0,16527
BATHURST ISLAND,2019,15167,0,15167
COCOS ISLAND,2019,14673,0,14673
AURUKUN,2019,14556,0,14556
COOKTOWN,2019,14263,0,14263
LOCKHART RIVER,2019,13120,0,13120
KOWANYAMA,2019,12835,0,12835
MANINGRIDA,2019,12621,0,12621
MORNINGTON ISLAND,2019,11620,0,11620
EDWARD RIVER,2019,8915,0,8915
